stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
54140,905309,I-85 ACCESS RD NORTH (N.E. EXPY) @ COLONIAL WAY,,33.86861,-84.283438,,,,,,0
54142,905310,I-85 ACCESS RD NORTH (N.E. EXPY) @ 3185,3185 NORTHEAST,33.870319,-84.280792,,,,,,0
54148,905243,CLAIRMONT RD @ SKYLAND RD,0 CLAIRMONT RD NE & SKYLAND RD NE,33.859944,-84.310691,,,,,,0
54150,905357,CLAIRMONT RD@RAVEN HILL DR,0 CLAIRMONT & RAVEN HILL,33.86155,-84.30968,,,,,,0
54152,905358,CLAIRMONT RD@CANMONT DR,0 CLAIRMONT & CANMONT,33.86312,-84.30938,,,,,,0
54154,905359,CLAIRMONT RD @ DRESDEN DR,0 CLAIRMONT & DRESDEN,33.8652,-84.30931,,,,,,0
54156,905360,CLAIRMONT RD@BRAGG ST,0 CLAIRMONT & BRAGG,33.867558,-84.309372,,,,,,0
54158,905244,CLAIRMONT RD@YOUNG RD,0 CLAIRMONT & YOUNG,33.868889,-84.309349,,,,,,0
54160,905245,CLAIRMONT RD@YOUNG RD,0 CLAIRMONT & YOUNG,33.868954,-84.309715,,,,,,0
54162,905246,CLAIRMONT RD@BRAGG ST,0 CLAIRMONT & BRAGG,33.868004,-84.309731,,,,,,0
54164,900398,CLAIRMONT RD@DRESDEN DR,0 CLAIRMONT & DRESDEN,33.865459,-84.309731,,,,,,0
54166,900422,CLAIRMONT RD@CANMONT DR,0 CLAIRMONT RD NE & CANMONT DR NE,33.863479,-84.309514,,,,,,0
54168,900423,CLAIRMONT RD@RAVEN HILL,0 CLAIRMONT RD NE & RAVEN HILL DR NE,33.861098,-84.309939,,,,,,0
54170,900424,CLAIRMONT RD@SKYLAND RD,0 CLAIRMONT RD NE & SKYLAND RD NE,33.860051,-84.310713,,,,,,0
54172,900425,NORTHEAST EXPY@2501,,33.848785,-84.30304,,,,,,0
54174,900399,NORTHEAST EXPY @ 2515 (ENTRANCE),2515 I-85 N,33.853158,-84.298337,,,,,,0
54176,900400,NORTHEAST EXPY @ PEACHWOOD CIR S,I-85 N & PEACHWOOD CIR NE,33.856119,-84.294799,,,,,,0
54178,900401,NORTHEAST EXPY @ PEACHWOOD CIR N,0 I-85 N & PEACHWOOD CIR NE,33.857721,-84.293688,,,,,,0
54180,900402,NORTHEAST EXPY @ 2805,2805 I-85 N,33.862088,-84.290855,,,,,,0
54182,900426,NORTHEAST EXPY @ 2825,2825 I-85 N & UNNAMED ST,33.862839,-84.290039,,,,,,0
54184,900427,I-85 ACCESS RD SOUTH (N.E. EXPY) @PLASTER RD,0 NORTHEAST & PLASTER,33.862217,-84.292091,,,,,,0
54186,900428,I-85 ACCESS RD SOUTH (N.E. EXPY) @2772,2772 NORTHEAST EXPY NE,33.859896,-84.293436,,,,,,0
54188,900429,I-85 ACCESS RD SOUTH (N.E. EXPY) @ 2700,2700 NORTHEAST EXPY NE,33.857972,-84.294504,,,,,,0
54190,900403,I-85 ACCESS RD SOUTH (N.E. EXPY) @ 2628,2628 NORTHEAST,33.856091,-84.296135,,,,,,0
54192,900404,I-85 ACCESS RD SOUTH (N.E. EXPY) @ 2550,2550 NORTHEAST,33.854198,-84.298416,,,,,,0
